frequency_Hz,frequency_GHz,S11_dB,S21_dB,S11_abs,S21_abs,power_sum
1000000000.0,1.0,0.01954372639056913,-56.05698359549465,1.0022525879250377,0.0015745295664957282,1.0045127291457912
1198000000.0,1.198,-0.011491163418035237,-56.26965443628443,0.9986779056584232,0.0015364459188375792,0.9973599199163561
1396000000.0,1.396,0.03179280340465689,-56.18896817659389,1.0036669887711689,0.0015507849983473557,1.007349829283097
1594000000.0,1.594,-0.02546456749517085,-56.17248482326946,0.9970725766090476,0.0015537307423430708,0.9941561371050248
1792000000.0,1.792,0.01766421566488821,-56.30943737535111,1.0020357372887256,0.001529424811024107,1.004077957944013
1990000000.0,1.99,-0.01997037325005668,-56.0878693322002,0.9977034668891306,0.001568940715082415,0.9954146694175577
2188000000.0,2.188,-0.016332265742096053,-56.43457253427358,0.9981214451155036,0.0015075487789929826,0.9962486919027825
2386000000.0,2.386,-0.007111509596021529,-56.156260209355324,0.9991815922792074,0.001556635711337155,0.9983662774643505
2584000000.0,2.584,-0.05050745975380004,-56.21401679495102,0.9942019875329168,0.0015463192422990866,0.9884399831176008
2782000000.0,2.782,-0.007697121095255981,-56.59296281343077,0.9991142287125517,0.0014803072267182277,0.9982314333253621
2980000000.0,2.98,-0.06731062226744491,-55.96600457432082,0.9922805275839087,0.0015911084100789369,0.9846231770481727
3178000000.0,3.178,-0.032944345225636,-56.58112002701603,0.9962143258895676,0.001482326929913217,0.9924451804007329
3376000000.0,3.376,-0.06529686465087181,-56.42036887372356,0.9925106069662835,0.0015100160252050293,0.9850795850889769
3574000000.0,3.574,-0.07489797865126166,-56.074087831585885,0.9914141225328881,0.0015714320569028975,0.9829044317563659
3772000000.0,3.772,-0.06065757482669138,-56.875139936191346,0.9930408663242922,0.0014329894835165174,0.9861322156489609
3970000000.0,3.97,-0.11379692443557077,-56.0875640513817,0.9869840940871858,0.0015689958592234074,0.974140063729109
4168000000.0,4.168,-0.07363368635185054,-56.62435801177238,0.991558440331134,0.0014749663058935766,0.9831903161175147
4366000000.0,4.366,-0.13431928345651883,-56.62551916207731,0.9846548759146857,0.0014747691420823551,0.9695473996065873
4564000000.0,4.564,-0.11126820911842261,-56.13280721128185,0.9872714757183195,0.0015608445037639776,0.9747074030025935
4762000000.0,4.762,-0.13860705873614726,-57.16125844260348,0.9841689225930615,0.0013865549253061576,0.9685903907325487
4960000000.0,4.96,-0.16222968478107916,-56.0830142818038,0.9814959587554071,0.00156981793271097,0.9633367813815373
5158000000.0,5.158,-0.14478364186459527,-56.850748764175165,0.9834693235198454,0.0014370191702658256,0.9672139753286778
5356000000.0,5.356,-0.20642656416312455,-56.85450125381802,0.976514444683693,0.0014363984814095827,0.9535825239164987
5554000000.0,5.554,-0.17128266400092035,-56.04137273592955,0.9804735149984585,0.0015773619604586575,0.9613308016841869
5752000000.0,5.752,-0.23159062833902327,-57.67651794998372,0.973689459338685,0.0013066946184943692,0.9480728706780867
5950000000.0,5.95,-0.22151031919796033,-56.05832604450357,0.9748201193822591,0.0015742862336410707,0.9502767435295872
