frequency_Hz,S11_dB,S21_dB,S11_mag,S21_mag,power_sum,Zin_real_ohm,Zin_imag_ohm,Zin_mag_ohm,Port1_beta_real,Port1_beta_imag,Port2_beta_real,Port2_beta_imag
1000000000.0,-29.794921275395918,0.005108569222595175,0.03237829206317876,1.0005883187585585,1.0022253374330072,46.99521383019463,0.913850678849679,47.00409818312602,37.252280023024234,0.17031685731811222,34.90194083252464,-0.06167440356776275
1010000000.0,-29.769280262497144,0.005610801745947802,0.03247401499447757,1.0006461761048855,1.0023473314031912,47.003614978799604,0.9725144421765718,47.013674664032344,37.62658017906875,0.18041516939344485,35.255488850717775,-0.06015779682822013
1020000000.0,-29.74570184907853,0.005982142832001757,0.0325622875809131,1.000688956867288,1.0024386909686431,47.01380780940381,1.0310240875097638,47.02511175328118,38.00132246756297,0.1902073763166391,35.60933780334248,-0.05875789074348979
1030000000.0,-29.724197995022546,0.006219025924254436,0.032643002647936015,1.000716248202635,1.002498575038631,47.02579427429333,1.0893137916972122,47.038409110693166,38.37646053161805,0.19965433605079635,35.96347589965533,-0.057502587760257004
1040000000.0,-29.70477944764832,0.0063199143938986735,0.032716062381876895,1.0007278718038295,1.0025266141427966,47.039573136192864,1.1473171305992125,47.05356285589226,38.75194495541435,0.20872313525640954,36.31788833653582,-0.05641813770180293
1050000000.0,-29.687455643098634,0.006285295421798547,0.0327813789206988,1.0007238832542764,1.002522909319461,47.05513990949549,1.2049673357071393,47.0705655179786,39.127724052178415,0.21738727448765768,36.67255752126729,-0.05552882001481046
1060000000.0,-29.67223463989758,0.0061176441082081475,0.03283887480644315,1.0007045678978268,1.0024880239101295,47.07248683220037,1.2621975544827742,47.089406019127274,39.503744653702555,0.22562675575252678,37.027463327054654,-0.05485665421076095
1070000000.0,-29.65912308483012,0.005821358709310896,0.032888483294891135,1.0006704333292775,1.0024229684728423,47.091602868483264,1.3189411101359638,47.110069691892285,39.87995288933897,0.2334280745688151,37.382583377975315,-0.054421141884802016
1080000000.0,-29.64812621083553,0.005402668340623364,0.03293014852056454,1.0006221986645112,1.002329179141787,47.11247374119724,1.3751317566519188,47.13253832930232,40.25629494290828,0.24078412022928483,37.737893359548615,-0.054239043243936025
1090000000.0,-29.63924786615984,0.004869514905259934,0.032963825517798244,1.000560780800342,1.002208489868558,47.13508199299832,1.43070392506637,47.156790266173495,40.63271777673243,0.2476939893402133,38.093367350986256,-0.05432419070127736
1100000000.0,-29.632490573585674,0.0042314113912648756,0.03298948010117394,1.0004872779209264,1.0020630990789707,47.15940707422727,1.4855929572643138,47.18280048945113,41.009169812891145,0.25416271911415117,38.44897817472836,-0.0546873415996229
1110000000.0,-29.627855618163593,0.003499279029651057,0.033007088611037586,1.0004029505492653,1.0018955313662528,47.18542545517273,1.539735323936714,47.210540774846464,41.385601562919604,0.26020094797659377,38.8046977588526,-0.0553360716835463
1120000000.0,-29.6253431615081,0.0026852661070344203,0.033016637532099484,1.0003092004780554,1.0017085949149724,47.21311075989934,1.5930688237599369,47.23997984656385,41.76196619842019,0.2658245120329804,39.160497507627106,-0.056274710397043494
1130000000.0,-29.624952380402213,0.0018025514778405652,0.033018122995179054,1.0002075479432062,1.0015053354086858,47.24243391846004,1.645532761348734,47.271083556533114,42.13822005637832,0.2710539867192733,39.51634867546013,-0.05750431859564639
1140000000.0,-29.62668162718365,0.0008651360172112495,0.03301155017396053,1.0000996074253223,1.001288987217172,47.273363334032595,1.6970681020668952,47.303815079277804,42.51432307442949,0.2759141834697202,39.87222273943451,-0.05902270864314294
1150000000.0,-29.630528609166888,-0.00011237460652271467,0.03299693259013407,0.9999870624789999,1.0010629226857373,47.305865061330096,1.7476176023389778,47.338135118367056,42.89023915276207,0.2804336115983096,40.22809176564474,-0.06082450640679481
1160000000.0,-29.636490584183285,-0.0011149923827984032,0.032974291341521175,0.9998716399968786,1.000830600359523,47.339902992534554,1.7971259146824572,47.37400212031706,43.265936440805596,0.2846439156772262,40.583928764628745,-0.06290125404514828
1170000000.0,-29.644564569211944,-0.0021275711583239256,0.03294365426864603,0.9997550843150722,1.0005955129704092,47.37543904699514,1.8455396672531064,47.41137249182897,43.641387548284484,0.2885792985568304,40.93970803134641,-0.06524155197761597
1180000000.0,-29.654747559014357,-0.0031350291512391745,0.03290505507576559,0.9996391315591976,1.000361135993966,47.412433361010955,1.892807518253112,47.45020081636599,44.016569681566544,0.2922759399477784,41.295405465389294,-0.06783123790952936
1190000000.0,-29.667036751678015,-0.004122566443366285,0.03285853242259592,0.9995254846161835,1.0001308775501832,47.45084447417849,1.9388801860834468,47.490440066277145,44.39146470750318,0.2957714198930158,41.650998867366354,-0.07065360026480884
